Age,Compras,Gasto,Recency,Income
57,25,1617,58,58138
60,6,27,38,46344
49,21,776,26,71613
30,8,53,26,26646
33,19,422,94,58293
47,22,716,16,62513
43,21,590,34,55635
29,10,169,32,33454
40,6,46,19,30351
64,2,49,68,5648
31,4,19,11,51373
38,6,61,59,7500
55,16,1102,82,63033
62,15,310,53,59354
27,5,46,38,17323
68,26,1315,23,82800
34,9,96,51,41850
68,13,317,20,37760
65,26,1782,91,76995
29,8,133,86,33812
32,12,316,41,37040
35,43,1730,42,2447
65,17,972,63,58607
60,20,544,0,65324
63,20,444,69,40689
45,8,75,89,18589
38,14,257,4,53359
28,27,637,19,51373
25,9,131,26,38360
49,26,1672,96,84618
25,8,30,34,10979
51,11,318,56,38620
44,9,120,31,40548
62,17,302,8,46610
68,18,1196,4,68657
63,6,65,55,49389
44,28,913,37,67353
38,9,81,76,23718
41,7,67,99,42429
71,24,902,53,48948
34,21,1395,3,80011
29,7,53,88,20559
57,4,22,4,21994
55,9,186,80,51373
39,8,31,19,7500
38,16,984,72,79941
18,10,122,24,7500
46,5,55,92,41728
63,10,124,96,51373
60,28,1319,39,72550
57,17,507,29,65486
50,29,1693,2,79143
37,7,72,54,35790
37,21,1617,54,82582
36,23,606,57,66373
59,27,1957,55,82384
48,21,1093,30,70287
26,6,29,31,27938
32,7,46,57,51373
46,19,518,63,55954
32,21,1438,12,75777
39,22,612,18,66653
62,24,884,26,61823
63,19,606,8,67680
66,16,1076,29,70666
43,5,34,75,25721
47,4,11,0,32474
35,32,1274,19,88194
56,18,653,4,69096
44,19,1562,90,74854
60,21,1253,1,66991
41,9,109,25,51373
55,30,863,29,65031
39,24,661,88,60631
62,8,65,58,28332
37,4,13,68,40246
42,19,1890,34,75251
38,22,2209,40,75825
38,4,18,12,26326
49,21,692,9,56046
29,12,165,87,29760
45,4,16,5,26304
41,9,79,87,23559
51,11,318,56,38620
27,27,778,18,81361
54,7,56,95,29440
44,13,151,48,36138
57,17,372,3,50388
41,19,1366,70,79593
47,10,194,79,54178
57,29,603,4,51373
57,4,18,45,51373
41,15,985,87,51373
42,5,32,69,42394
44,10,43,84,23626
31,6,45,30,30096
54,22,606,72,47916
42,7,63,37,51813
63,25,978,44,78497
31,16,410,32,50150
54,7,72,0,47823
55,7,55,43,34554
35,27,1169,59,85693
69,16,1120,68,65846
55,20,1097,35,87195
35,5,29,94,24594
50,13,187,15,49096
45,26,910,56,52413
36,9,145,17,38557
54,14,850,18,89058
35,24,969,46,77298
23,17,1820,40,68126
51,20,608,27,57288
23,25,730,95,86037
34,21,551,19,43974
52,8,114,27,50785
44,15,1724,25,90765
36,20,577,74,36550
47,7,81,85,30753
45,7,33,37,21918
61,22,660,65,56129
47,9,80,13,32557
29,6,30,63,19510
38,5,43,83,30992
31,27,1135,69,101970
49,16,559,87,71488
30,16,1923,37,79607
61,8,90,51,54348
53,17,404,23,51373
58,23,661,72,77376
62,19,463,10,62998
56,23,632,42,61331
45,19,725,10,73448
51,19,725,96,51373
50,16,279,51,41551
47,23,1482,21,62981
38,6,29,31,9548
55,9,106,61,33762
41,6,49,37,35860
49,7,38,74,36921
22,22,2077,46,92859
38,17,1053,4,65104
52,23,1385,73,86111
40,25,871,47,68352
26,12,312,13,41883
38,15,877,36,59809
39,6,68,47,23957
33,4,22,49,38547
41,16,211,94,35688
48,8,127,65,49605
61,16,459,59,59354
45,19,460,96,65747
42,17,429,28,46344
26,11,89,12,34176
62,26,1021,57,61010
65,21,1381,10,69372
56,15,306,4,49967
36,4,18,49,60199
37,9,162,3,55375
59,18,1231,64,80317
56,4,13,0,30523
69,27,1706,20,70356
30,11,121,91,23228
39,20,1293,9,74165
41,37,1608,98,157243
48,9,88,83,43482
61,18,421,27,62551
55,12,259,63,52332
26,15,1117,46,66951
57,9,89,84,26091
49,6,36,58,33456
32,7,57,78,28718
44,8,148,4,50447
55,8,93,17,53537
47,7,119,77,52074
39,28,1835,56,80427
66,25,1318,79,83837
44,7,45,90,38853
55,4,10,96,38285
63,25,978,44,78497
38,10,191,81,51650
26,9,57,77,16248
68,24,1033,21,66835
30,6,66,16,30477
53,6,43,80,28249
31,5,50,45,25271
44,7,39,63,32303
48,18,608,34,61286
38,24,1581,14,74068
50,7,68,13,45759
36,5,80,52,24882
25,28,1282,98,66973
26,8,91,93,38872
41,16,315,38,51148
37,6,31,24,31353
34,23,834,80,69661
60,17,1600,82,80067
60,17,1270,20,86718
41,15,263,81,46854
62,19,535,50,69142
46,18,1295,60,75922
36,29,1150,63,63693
37,26,1240,54,102160
49,6,38,72,40637
30,4,35,5,18890
26,5,53,88,29604
51,17,293,50,48721
48,6,65,99,44794
60,29,1804,17,64497
58,15,241,11,46097
60,20,1101,18,77972
46,19,264,70,44377
40,26,541,21,46014
29,17,1198,66,70951
37,20,482,79,41443
36,4,17,2,52195
66,25,1615,81,83790
60,12,285,24,44551
34,28,1135,48,69508
26,7,114,93,45204
45,16,1047,56,72460
44,22,714,3,77622
34,13,185,44,30732
52,32,1245,38,63887
36,12,189,46,42011
38,16,576,84,51369
62,18,1103,27,51537
42,17,1753,72,79930
28,4,17,66,34320
48,23,433,30,37070
52,14,1588,2,81975
43,4,22,65,38590
63,5,19,37,15033
49,29,1117,89,62745
39,8,69,49,22212
